Capítulo,Subcapítulo,Código Partida,Unidad,Título Partida,Descripción Partida,Unidades,Precio,Total
C01,C08.04,U09BCP080,M,". LÍNEA ALUMB.P.4(1x6) 0,6/1kV Cu. S/EXC.","Línea de alimentación para alumbrado público formada por conductores de cobre 4(1x6) mm2 con aislamiento tipo RV-0,6/1 kV, canalizados bajo tubo de PVC, con elementos de conexión, instalada, transporte, montaje y conexionado.",740.0,5.04,3729.6
C01,C08.04,CABLE16,M,CONDUCTOR CuVV750A/V1x16,"Conductor de cobre A/V 1x16mm2, VV07V, en cualquier tipo de montaje, incluso pequeño material y accesorios, totalmente instalado, conexionado y funcionando",740.0,3.05,2257.0
C01,C08.04,U10CC030,Ud,COLUMNA 6 m.,,0.0,0.0,0.0
C01,C08.04,Columna de 6,M,". de altura, compuesta por los siguientes elementos: columna troncocónica de chapa","de acero galvanizado de 3mm de espesor tipo EUROPEO o similar, provista de caja de conexión y protección, pica de tierra, arqueta de paso y derivación de 0,40 cm. de ancho, 0,40 de largo y 0,60 cm. de profundidad, provista de cerco y tapa de hierro fundido, cimentación realizada con hormigón de HM-20 de dosificación y pernos de anclaje, montado y conexionado.",0.0,471.4,0.0
C01,C08.04,U10VP100,Ud,LUMINARIA ANDROMEDA II VSAP 70W.,"Luminaria para alumbrado viario, tipo ANDROMEDA II o similar,cerrada, con carcasa de poliéster reforzado con fibra de vidrio en color gris con protección IMC, protección IP 66, Clase II. Con lámpara de vapor de sodio de alta presión de 70W. Instalada, incluido montaje y conexionado.",0.0,163.35,0.0
C01,C08.04,RETIRADA001,Ud,RETIRADA DE FAROLA EXISTENTE,Desconexion y retirada de farola existente incluso transporte a acopio.,27.0,26.36,711.72
C01,C08.04,U11SAM020,Ud,CIMENTACIÓN P/COLUMNA 3 a 7 m. Y COLOCACION FAROLA,"Cimentación para columna de altura entre 3 a 7 m., con dimensiones 80x80x120 cm., en hormigón HA-25/P/40/IIa, i/excavación necesaria, pernos de anclaje de 30 cm. de longitud y codo de PVC 90º de 100 mm. de diámetro, incluso recolocacion de farola existente y toma de tierra donde sea necesaria.",27.0,149.14,4026.78
C01,C08.04,PY10AA012a,Ud,TALADO Y DESTOCONADO DE ARBOL <30 CM DE DIÁMETRO,"Destoconado de árbol de menos de 30 cm de diámetro, con medios mecánicos, incluso extracción de raíces, acopio, relleno y compactación del hueco con tierras propias, carga de residuos resultantes y parte proporcional de medios auxiliares, completamente ejecutado.",0.0,81.4,0.0
C01,C08.04,GR0001,m³,CARGA/TRAN.VERT.<30km.MAQ/CAM.ESC.,"Carga y transporte de escombros vertedero autorizado por transportista autorizado (por la Consejería de Medio Ambiente de la comunidad autónoma correspondiente), a una distancia menor de 30 km., considerando ida y vuelta, en camiones basculantes de hasta 15 t. de peso, cargados con pala cargadora media, incluso canon de vertedero, sin medidas de protección colectivas. (Real Decreto 1481/2001, de 27 de diciembre)",684.38,16.92,11579.71
C01,C08.05,DEM06,m,CORTE PAVIMENTO EXISTENTE,"Corte de pavimento de aglomerado asfáltico u hormigón, con cortadora de disco diamante, en calzadas, i/replanteo y p.p. de medios auxiliares.",742.0,1.12,831.04
C01,C08.05,U04BH085,M,BORD.HORM. BICAPA GRIS 9-12x25 cm,"Bordillo de hormigón bicapa, de color gris, achaflanado, de 9 y 12 cm de bases superior e inferior y 25 cm de altura, colocado sobre solera de hormigón HM-20/P/20/I, de 10 cm de espesor, rejuntado y limpieza, sin incluir la excavación previa ni el relleno posterior.",742.0,17.5,12985.0
C01,C08.05,E04SM090,m²,"SOLER.HM-20, 10cm.+ENCACH.10cm","Solera de hormigón en masa de 10 cm. de espesor, realizada con hormigón HM-20 N/mm2, Tmáx.20 mm., elaborado en obra, i/encachado de piedra caliza 40/80 mm. de 10 cm. de espesor, vertido, colocación, p.p. de juntas, aserrado de las mismas y fratasado. Según NTE-RSS y EHE.",1187.2,14.24,16905.73
C01,C08.05,U04VQ020,m²,PAVIMENTO ADOQUÍN HORMIGÓN RECTO COLOR 20x10x8,"Pavimento de adoquín prefabricado de hormigón bicapa en colores suaves tostados, de forma rectangular de 20x10x8 cm, colocado sobre cama de arena de río, rasanteada, de 3/4 cm de espesor, dejando entre ellos una junta de separación de 2/3 mm para su posterior relleno con arena caliza de machaqueo, i/recebado de juntas, barrido y compactación, a colocar sobre base firme existente, no incluido en el precio, compactada al 100% del ensayo proctor.",1187.2,25.42,30178.62
C01,C08.05,E04SE030,m³,HORMIGÓN HM-20/P/20/I EN SOLERA,"Hormigón HM-20 N/mm2, consistencia plástica, Tmáx.20 mm., para ambiente normal, elaborado en central en solera, incluso vertido, compactado según EHE, p.p. de vibrado, regleado y curado en soleras. 8 de mayo de 2024 Página 8 PRESUPUESTO DAÑOS DANA SEPT. 2023, URB. CALYPO FADO DE CASARRUBIOS DEL MONT",22.26,91.0,2025.66
C01,C08.05,REC POZ,Ud,PUESTA EN RASANTE DE POZO O ARQUETA,"Puesta en rasante de pozo de registro o arqueta para adaptarlo a la nueva rasante de la calzada o del acerado, incluso retirada de losa de hormgon existente, y preparación de cono para colocacion de cerco y tapa de fundición.",16.0,145.51,2328.16
C01,C08.05,CANLELEC01,Ud,CANALIZACION ALUMBRADO PUBLICO,"Canalizacion bajo acera para alumbrado publico formada por tubo de PVC de 63 mm de diametro, en montaje enterrado, incluso excavacion y relleno, cinta de señalización, y retirada de materiales sobrantes a vertedero.",380.0,9.44,3587.2
C01,C08.05,U09BCP080,M,". LÍNEA ALUMB.P.4(1x6) 0,6/1kV Cu. S/EXC.","Línea de alimentación para alumbrado público formada por conductores de cobre 4(1x6) mm2 con aislamiento tipo RV-0,6/1 kV, canalizados bajo tubo de PVC, con elementos de conexión, instalada, transporte, montaje y conexionado.",380.0,5.04,1915.2
C01,C08.05,CABLE16,M,CONDUCTOR CuVV750A/V1x16,"Conductor de cobre A/V 1x16mm2, VV07V, en cualquier tipo de montaje, incluso pequeño material y accesorios, totalmente instalado, conexionado y funcionando",380.0,3.05,1159.0
C01,C08.05,U10CC030,Ud,COLUMNA 6 m.,,0.0,0.0,0.0
C01,C08.05,Columna de 6,M,". de altura, compuesta por los siguientes elementos: columna troncocónica de chapa","de acero galvanizado de 3mm de espesor tipo EUROPEO o similar, provista de caja de conexión y protección, pica de tierra, arqueta de paso y derivación de 0,40 cm. de ancho, 0,40 de largo y 0,60 cm. de profundidad, provista de cerco y tapa de hierro fundido, cimentación realizada con hormigón de HM-20 de dosificación y pernos de anclaje, montado y conexionado.",0.0,471.4,0.0
C01,C08.05,U10VP100,Ud,LUMINARIA ANDROMEDA II VSAP 70W.,"Luminaria para alumbrado viario, tipo ANDROMEDA II o similar,cerrada, con carcasa de poliéster reforzado con fibra de vidrio en color gris con protección IMC, protección IP 66, Clase II. Con lámpara de vapor de sodio de alta presión de 70W. Instalada, incluido montaje y conexionado.",0.0,163.35,0.0
C01,C08.05,RETIRADA001,Ud,RETIRADA DE FAROLA EXISTENTE,Desconexion y retirada de farola existente incluso transporte a acopio.,11.0,26.36,289.96
C01,C08.05,U11SAM020,Ud,CIMENTACIÓN P/COLUMNA 3 a 7 m. Y COLOCACION FAROLA,"Cimentación para columna de altura entre 3 a 7 m., con dimensiones 80x80x120 cm., en hormigón HA-25/P/40/IIa, i/excavación necesaria, pernos de anclaje de 30 cm. de longitud y codo de PVC 90º de 100 mm. de diámetro, incluso recolocacion de farola existente y toma de tierra donde sea necesaria.",11.0,149.14,1640.54
C01,C08.05,PY10AA012a,Ud,TALADO Y DESTOCONADO DE ARBOL <30 CM DE DIÁMETRO,"Destoconado de árbol de menos de 30 cm de diámetro, con medios mecánicos, incluso extracción de raíces, acopio, relleno y compactación del hueco con tierras propias, carga de residuos resultantes y parte proporcional de medios auxiliares, completamente ejecutado.",0.0,81.4,0.0
C01,C08.05,GR0001,m³,CARGA/TRAN.VERT.<30km.MAQ/CAM.ESC.,"Carga y transporte de escombros vertedero autorizado por transportista autorizado (por la Consejería de Medio Ambiente de la comunidad autónoma correspondiente), a una distancia menor de 30 km., considerando ida y vuelta, en camiones basculantes de hasta 15 t. de peso, cargados con pala cargadora media, incluso canon de vertedero, sin medidas de protección colectivas. (Real Decreto 1481/2001, de 27 de diciembre)",343.13,16.92,5805.76
C01,C08.06,DEM06,m,CORTE PAVIMENTO EXISTENTE,"Corte de pavimento de aglomerado asfáltico u hormigón, con cortadora de disco diamante, en calzadas, i/replanteo y p.p. de medios auxiliares.",405.0,1.12,453.6
C01,C08.06,U04BH085,M,BORD.HORM. BICAPA GRIS 9-12x25 cm,"Bordillo de hormigón bicapa, de color gris, achaflanado, de 9 y 12 cm de bases superior e inferior y 25 cm de altura, colocado sobre solera de hormigón HM-20/P/20/I, de 10 cm de espesor, rejuntado y limpieza, sin incluir la excavación previa ni el relleno posterior.",405.0,17.5,7087.5
C01,C08.06,E04SM090,m²,"SOLER.HM-20, 10cm.+ENCACH.10cm","Solera de hormigón en masa de 10 cm. de espesor, realizada con hormigón HM-20 N/mm2, Tmáx.20 mm., elaborado en obra, i/encachado de piedra caliza 40/80 mm. de 10 cm. de espesor, vertido, colocación, p.p. de juntas, aserrado de las mismas y fratasado. Según NTE-RSS y EHE.",648.0,14.24,9227.52
C01,C08.06,U04VQ020,m²,PAVIMENTO ADOQUÍN HORMIGÓN RECTO COLOR 20x10x8,"Pavimento de adoquín prefabricado de hormigón bicapa en colores suaves tostados, de forma rectangular de 20x10x8 cm, colocado sobre cama de arena de río, rasanteada, de 3/4 cm de espesor, dejando entre ellos una junta de separación de 2/3 mm para su posterior relleno con arena caliza de machaqueo, i/recebado de juntas, barrido y compactación, a colocar sobre base firme existente, no incluido en el precio, compactada al 100% del ensayo proctor.",648.0,25.42,16472.16
C01,C08.06,E04SE030,m³,HORMIGÓN HM-20/P/20/I EN SOLERA,"Hormigón HM-20 N/mm2, consistencia plástica, Tmáx.20 mm., para ambiente normal, elaborado en central en solera, incluso vertido, compactado según EHE, p.p. de vibrado, regleado y curado en soleras.",12.15,91.0,1105.65
C01,C08.06,REC POZ,Ud,PUESTA EN RASANTE DE POZO O ARQUETA,"Puesta en rasante de pozo de registro o arqueta para adaptarlo a la nueva rasante de la calzada o del acerado, incluso retirada de losa de hormgon existente, y preparación de cono para colocacion de cerco y tapa de fundición.",10.0,145.51,1455.1
C01,C08.06,CANLELEC01,Ud,CANALIZACION ALUMBRADO PUBLICO,"Canalizacion bajo acera para alumbrado publico formada por tubo de PVC de 63 mm de diametro, en montaje enterrado, incluso excavacion y relleno, cinta de señalización, y retirada de materiales sobrantes a vertedero.",203.0,9.44,1916.32
C01,C08.06,U09BCP080,M,". LÍNEA ALUMB.P.4(1x6) 0,6/1kV Cu. S/EXC.","Línea de alimentación para alumbrado público formada por conductores de cobre 4(1x6) mm2 con aislamiento tipo RV-0,6/1 kV, canalizados bajo tubo de PVC, con elementos de conexión, instalada, transporte, montaje y conexionado.",203.0,5.04,1023.12
C01,C08.06,CABLE16,M,CONDUCTOR CuVV750A/V1x16,"Conductor de cobre A/V 1x16mm2, VV07V, en cualquier tipo de montaje, incluso pequeño material y accesorios, totalmente instalado, conexionado y funcionando",203.0,3.05,619.15
C01,C08.06,U10CC030,Ud,COLUMNA 6 m.,,0.0,0.0,0.0
C01,C08.06,Columna de 6,M,". de altura, compuesta por los siguientes elementos: columna troncocónica de chapa","de acero galvanizado de 3mm de espesor tipo EUROPEO o similar, provista de caja de conexión y protección, pica de tierra, arqueta de paso y derivación de 0,40 cm. de ancho, 0,40 de largo y 0,60 cm. de profundidad, provista de cerco y tapa de hierro fundido, cimentación realizada con hormigón de HM-20 de dosificación y pernos de anclaje, montado y conexionado. 8 de mayo de 2024 Página 10 PRESUPUESTO DAÑOS DANA SEPT. 2023, URB. CALYPO FADO DE CASARRUBIOS DEL MONT",0.0,471.4,0.0
C01,C08.06,U10VP100,Ud,LUMINARIA ANDROMEDA II VSAP 70W.,"Luminaria para alumbrado viario, tipo ANDROMEDA II o similar,cerrada, con carcasa de poliéster reforzado con fibra de vidrio en color gris con protección IMC, protección IP 66, Clase II. Con lámpara de vapor de sodio de alta presión de 70W. Instalada, incluido montaje y conexionado.",0.0,163.35,0.0
C01,C08.06,RETIRADA001,Ud,RETIRADA DE FAROLA EXISTENTE,Desconexion y retirada de farola existente incluso transporte a acopio.,7.0,26.36,184.52
C01,C08.06,U11SAM020,Ud,CIMENTACIÓN P/COLUMNA 3 a 7 m. Y COLOCACION FAROLA,"Cimentación para columna de altura entre 3 a 7 m., con dimensiones 80x80x120 cm., en hormigón HA-25/P/40/IIa, i/excavación necesaria, pernos de anclaje de 30 cm. de longitud y codo de PVC 90º de 100 mm. de diámetro, incluso recolocacion de farola existente y toma de tierra donde sea necesaria.",7.0,149.14,1043.98
C01,C08.06,PY10AA012a,Ud,TALADO Y DESTOCONADO DE ARBOL <30 CM DE DIÁMETRO,"Destoconado de árbol de menos de 30 cm de diámetro, con medios mecánicos, incluso extracción de raíces, acopio, relleno y compactación del hueco con tierras propias, carga de residuos resultantes y parte proporcional de medios auxiliares, completamente ejecutado.",0.0,81.4,0.0
C01,C08.06,GR0001,m³,CARGA/TRAN.VERT.<30km.MAQ/CAM.ESC.,"Carga y transporte de escombros vertedero autorizado por transportista autorizado (por la Consejería de Medio Ambiente de la comunidad autónoma correspondiente), a una distancia menor de 30 km., considerando ida y vuelta, en camiones basculantes de hasta 15 t. de peso, cargados con pala cargadora media, incluso canon de vertedero, sin medidas de protección colectivas. (Real Decreto 1481/2001, de 27 de diciembre)",187.31,16.92,3169.29
